SPF,valid,depth,inputs,outputs
Z(),True,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"P(1, 1)",True,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
S(),True,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(S(), S())",True,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
"C(S(), Z())",True,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"R(Z(), P(2, 1))",True,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(C(S(), S()), C(S(), Z()))",True,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
"C(S(), R(Z(), P(2, 1)))",True,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(C(S(), S()), S())",True,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
"C(C(S(), S()), Z())",True,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"C(C(S(), S()), C(S(), S()))",True,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
"R(C(S(), Z()), P(2, 1))",True,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 0, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))",True,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(C(S(), S()), R(Z(), P(2, 1)))",True,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
