,expr,arity,inputs,outputs,len_expr
2669,Z(),0,[0],[0],3
876,"C(S(), Z())",0,[0],[1],11
1496,"C(S(), C(S(), Z()))",0,[0],[2],19
1461,"C(C(S(), S()), C(S(), Z()))",0,[0],[3],27
805,S(),1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",3
819,"P(1, 1)",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",7
879,"C(S(), S())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",11
304,"C(S(), C(S(), S()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",19
2600,"R(S(), P(2, 1), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 2, 3, 4, 5, 6, 7, 8, 9]",20
2607,"R(P(1, 1), P(2, 1), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 0, 1, 2, 3, 4, 5, 6, 7, 8]",24
1523,"C(C(S(), S()), C(S(), S()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",27
310,"C(S(), R(S(), P(2, 1), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 3, 4, 5, 6, 7, 8, 9, 10]",28
2603,"R(S(), P(2, 1), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 2, 3, 4, 5, 6, 7, 8, 9]",28
895,"R(S(), R(S(), P(3, 2), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19]",33
1066,"R(C(S(), S()), P(2, 1), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 2, 3, 4, 5, 6, 7, 8, 9, 10]",36
1529,"C(C(S(), S()), R(S(), P(2, 1), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 3, 4, 5, 6, 7, 8, 9, 10, 11]",36
905,"R(S(), R(P(1, 1), P(3, 1), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 1, 2, 3, 4, 5, 6, 7, 8]",37
987,"R(P(1, 1), R(S(), P(3, 2), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]",37
2698,"R(P(2, 1), P(3, 3), P(3, 1), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 0, 0, 1, 2, 3, 4, 5, 6, 7]",38
900,"R(S(), R(S(), P(3, 2), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]",41
999,"R(P(1, 1), R(P(1, 1), P(3, 1), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 0, 1, 2, 3, 4, 5, 6, 7]",41
1797,"C(R(P(1, 1), P(3, 1), S()), P(1, 1), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 1, 2, 3, 4, 5, 6, 7, 8]",41
116,"R(P(2, 2), Z(), P(3, 2), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",42
280,"R(P(2, 2), C(S(), Z()), P(3, 2), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",42
1412,"R(P(2, 1), Z(), P(3, 1), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",42
1573,"R(P(2, 1), C(S(), Z()), P(3, 1), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",42
911,"R(S(), R(P(1, 1), P(3, 1), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 1, 2, 3, 4, 5, 6, 7, 8]",45
1121,"R(C(S(), S()), R(P(1, 1), P(3, 1), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 2, 3, 4, 5, 6, 7, 8, 9]",45
1500,"C(S(), R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 1, 2, 3, 4, 5, 6, 7, 8]",46
1115,"R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 5, 7, 9, 11, 13, 15, 17, 19, 21]",49
1806,"C(R(P(1, 1), P(3, 1), S()), P(1, 1), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 0, 1, 2, 3, 4, 5, 6, 7, 8]",49
2057,"C(R(P(1, 1), P(3, 1), S()), P(1, 1), C(S(), S()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 0, 1, 2, 3, 4, 5, 6, 7, 8]",49
121,"R(P(2, 2), Z(), P(3, 2), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
160,"R(P(2, 2), Z(), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 1, 1, 1, 1, 1, 1, 1, 1]",50
284,"R(P(2, 2), C(S(), Z()), P(3, 2), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",50
2002,"R(R(S(), P(2, 1), Z()), R(S(), P(3, 2), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18]",50
2445,"R(P(2, 2), C(S(), Z()), C(S(), P(3, 2)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 2, 2, 2, 2, 2, 2, 2, 2]",50
2534,"R(C(S(), P(2, 1)), Z(), P(3, 1), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50
915,"R(S(), R(P(2, 1), P(4, 3), P(4, 1), S(), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 3, 1, 2, 3, 4, 5, 6, 7]",51
1125,"R(C(S(), S()), R(P(1, 1), P(3, 1), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 4, 2, 3, 4, 5, 6, 7, 8, 9]",53
254,"R(P(2, 1), P(3, 3), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 2, 1, 3, 2, 4, 3, 5, 4]",54
1541,"C(C(S(), S()), R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 2, 3, 4, 5, 6, 7, 8, 9]",54
2021,"R(P(2, 1), C(S(), P(3, 3)), P(3, 2), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 1, 3, 2, 4, 3, 5, 4, 6]",54
2088,"R(R(P(1, 1), P(2, 1), Z()), R(S(), P(3, 2), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 3, 5, 7, 9, 11, 13, 15, 17]",54
926,"R(S(), R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 2, 3, 3, 4, 4, 5, 5, 6]",55
936,"R(S(), R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 2, 2, 3, 3, 4, 4, 5, 5]",55
1016,"R(P(1, 1), R(P(2, 1), P(4, 3), P(4, 1), S(), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 2, 0, 1, 2, 3, 4, 5, 6]",55
1285,"R(R(S(), P(3, 2), S()), Z(), P(3, 2), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 2, 2, 2, 2, 2, 2, 2, 2, 2]",55
1903,"C(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), S(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1]",55
2395,"C(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), S(), S())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 3, 5, 5, 7, 7, 9, 9, 11]",55
166,"R(P(2, 2), Z(), C(S(), P(3, 2)), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",58
1674,"R(C(S(), P(2, 2)), Z(), P(3, 2), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 1, 1, 1, 1, 1, 1, 1, 1]",58
1731,"R(C(S(), P(2, 2)), Z(), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 2, 2, 2, 2, 2, 2, 2, 2]",58
1832,"C(R(P(1, 1), P(3, 1), S()), R(P(1, 1), P(2, 1), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 0, 1, 2, 3, 4, 5, 6, 7]",58
1871,"R(C(S(), P(2, 2)), C(S(), Z()), P(3, 2), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 2, 2, 2, 2, 2, 2, 2, 2]",58
1923,"R(C(S(), P(2, 2)), C(S(), Z()), C(S(), P(3, 2)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 3, 3, 3, 3, 3, 3, 3, 3]",58
