,expr,inputs,outputs,len,arity
0,S(),"((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",3,1.0
1,"P(1, 1)","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",7,1.0
2,"R(S(), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 2, 3, 4, 5, 6, 7, 8, 9)",20,1.0
3,"C(S(), R(S(), P(2, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 3, 4, 5, 6, 7, 8, 9, 10)",28,1.0
4,"R(S(), P(2, 1), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 1, 2, 3, 4, 5, 6, 7, 8, 9)",28,1.0
5,"C(C(S(), S()), C(S(), C(S(), S())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(5, 6, 7, 8, 9, 10, 11, 12, 13, 14)",35,1.0
6,"R(R(S(), P(2, 1), Z()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 2, 3, 4, 5, 6, 7, 8)",37,1.0
7,"R(P(2, 2), P(3, 1), P(3, 2), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 1, 2, 3, 4, 5, 6, 7)",38,1.0
8,"C(C(C(S(), S()), C(S(), S())), C(S(), S()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(6, 7, 8, 9, 10, 11, 12, 13, 14, 15)",43,1.0
9,"C(C(C(S(), S()), P(2, 2)), Z(), C(S(), S()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",44,1.0
