,expr,inputs,outputs,len,arity
0,S(),"((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",3,1.0
1,"P(1, 1)","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",7,1.0
2,"C(S(), S())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",11,1.0
3,"C(S(), C(S(), S()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",19,1.0
4,"R(S(), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 2, 3, 4, 5, 6, 7, 8, 9)",20,1.0
5,"R(P(1, 1), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 1, 2, 3, 4, 5, 6, 7, 8)",24,1.0
6,"C(C(S(), S()), C(S(), S()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",27,1.0
7,"R(S(), P(2, 1), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 1, 2, 3, 4, 5, 6, 7, 8, 9)",28,1.0
8,"C(S(), R(S(), P(2, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 3, 4, 5, 6, 7, 8, 9, 10)",28,1.0
9,"R(P(1, 1), P(2, 1), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 0, 1, 2, 3, 4, 5, 6, 7, 8)",32,1.0
