,expr,arity,inputs,outputs
0,S(),1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(2, 3, 4, 5, 6, 7, 8, 9, 10, 11)"
1,"P(1, 1)",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)"
2,"R(P(2, 1), C(P(3, 1), P(3, 1), P(3, 3), P(3, 1)), C(C(P(3, 2), P(2, 2), Z(), P(2, 1)), P(3, 1), C(P(3, 1), P(3, 1), P(3, 3), P(3, 1))), Z(), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)"
3,"R(P(2, 1), P(3, 2), P(3, 3), Z(), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
4,"R(R(S(), P(2, 1), Z()), P(2, 2), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)"
5,"R(R(R(S(), P(2, 1), Z()), P(2, 1), Z()), C(S(), P(2, 2)), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(1, 1, 2, 3, 4, 5, 6, 7, 8, 9)"
6,"R(R(P(1, 1), P(2, 1), Z()), P(2, 1), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(0, 0, 1, 2, 3, 4, 5, 6, 7, 8)"
7,"R(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), P(2, 1), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(0, 0, 0, 1, 2, 3, 4, 5, 6, 7)"
8,"R(P(2, 1), C(S(), P(3, 3)), P(3, 2), Z(), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(1, 1, 2, 2, 3, 3, 4, 4, 5, 5)"
9,"R(P(2, 1), P(3, 3), C(S(), P(3, 2)), Z(), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(0, 1, 1, 2, 2, 3, 3, 4, 4, 5)"
