SPF,valid,depth,inputs,outputs
Z(),True,1,"[1, 2, 3]","[0, 0, 0]"
"P(1, 1)",True,1,"[1, 2, 3]","[1, 2, 3]"
S(),True,1,"[1, 2, 3]","[2, 3, 4]"
"C(S(), P(1, 1))",True,2,"[1, 2, 3]","[2, 3, 4]"
"C(P(1, 1), P(1, 1))",True,2,"[1, 2, 3]","[1, 2, 3]"
"C(P(1, 1), Z())",True,2,"[1, 2, 3]","[0, 0, 0]"
"C(S(), S())",True,2,"[1, 2, 3]","[3, 4, 5]"
"R(Z(), P(2, 1))",True,2,"[1, 2, 3]","[0, 1, 2]"
"C(P(1, 1), S())",True,2,"[1, 2, 3]","[2, 3, 4]"
"R(Z(), P(2, 2))",True,2,"[1, 2, 3]","[0, 0, 0]"
"C(S(), Z())",True,2,"[1, 2, 3]","[1, 1, 1]"
